Candidato - nome de urna;SG_PARTIDO;DS_NACIONALIDADE;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_DECLARAR_BENS
ADRIANA ARAÚJO;PSB;BRASILEIRA NATA;49;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
ADRIANA BORGES;PATRIOTA;BRASILEIRA NATA;56;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;N
ADRIANA BUZELIN;PV;BRASILEIRA NATA;52;FEMININO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;S
ADRIANA DO GÁS;AVANTE;BRASILEIRA NATA;38;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;N
ADRIANA PINHEIRO;PTC;BRASILEIRA NATA;41;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
ADRIANO OLIVER;PSD;BRASILEIRA NATA;32;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;N
ADRIANO SALUSTIANO;CIDADANIA;BRASILEIRA NATA;45;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
ADRIANO VENTURA;PSD;BRASILEIRA NATA;51;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
ADVOGADA LIA MARIA;DC;BRASILEIRA NATA;61;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
AFONSO TAQUARIL;PL;BRASILEIRA NATA;46;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
AGUINALDO BRAGA;MDB;BRASILEIRA NATA;58;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ALAN MADUREIRA;PP;BRASILEIRA NATA;39;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
ALAN RODRIGUES;PSOL;BRASILEIRA NATA;26;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;S
ALANA PINHO;PMN;BRASILEIRA NATA;33;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ALBERTO BELIN;PV;BRASILEIRA NATA;38;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
ALBERTO VIEIRA;PV;BRASILEIRA NATA;35;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;N
ALCINEIA DE OLIVEIRA;PSC;BRASILEIRA NATA;48;FEMININO;LÊ E ESCREVE;VIÚVO(A);PARDA;S
ALDA METROVIÁRIA;UP;BRASILEIRA NATA;57;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ALÊ BORGES;PATRIOTA;BRASILEIRA NATA;48;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
ALENCAR CARVALHO;REPUBLICANOS;BRASILEIRA NATA;67;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ALESSANDRA ROSA;AVANTE;BRASILEIRA NATA;45;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;N
ALÉSSIO LEAL NENZINHO DO TÁXI;PROS;BRASILEIRA NATA;52;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
ALEX DOUGLAS;PT;BRASILEIRA NATA;50;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
ALEX RIBEIRO GASPARZINHO;PRTB;BRASILEIRA NATA;35;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;N
ALEXANDRE BOAVENTURA;CIDADANIA;BRASILEIRA NATA;27;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;S
ALEXANDRE BONITO;PROS;BRASILEIRA NATA;56;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ALEXANDRE BORJAILI;PSC;BRASILEIRA NATA;58;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ALEXANDRE BRAGA;PC do B;BRASILEIRA NATA;49;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
ALEXANDRE CLETO;PTB;BRASILEIRA NATA;46;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
ALEXANDRE DA ZOONOSES;MDB;BRASILEIRA NATA;50;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
ALEXANDRE DO ESCOLAR (DINHO);PATRIOTA;BRASILEIRA NATA;47;MASCULINO;LÊ E ESCREVE;CASADO(A);PARDA;S
ALEXANDRE SANTOS;AVANTE;BRASILEIRA NATA;53;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;S
ALEXANDRE TICONDOCA;PROS;BRASILEIRA NATA;46;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;S
ALEXANDRIO DE CARVALHO;REPUBLICANOS;BRASILEIRA NATA;42;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
ALFREDO TEIXEIRA;DEM;BRASILEIRA NATA;55;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
ALICIO CESAR;REPUBLICANOS;BRASILEIRA NATA;57;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
ALINE NOGUEIRA;PV;BRASILEIRA NATA;41;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
ALISSON SILVESTRE;PV;BRASILEIRA NATA;27;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
ALMEIDÃO DO PARTIDÃO;PCB;BRASILEIRA NATA;81;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PRETA;S
ALUÍZIO LEANDRO LÉO;PTB;BRASILEIRA NATA;43;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ALVARO DAMIÃO;DEM;BRASILEIRA NATA;50;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
ÁLVARO GOULART;PSD;BRASILEIRA NATA;61;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ALYSSON DO APLICATIVO;PC do B;BRASILEIRA NATA;41;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;N
AMARELINHO DE JESUS;SOLIDARIEDADE;BRASILEIRA NATA;60;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
AMAURI DE PAULA;PSOL;BRASILEIRA NATA;45;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
AMAURI JIBÓIA;SOLIDARIEDADE;BRASILEIRA NATA;53;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
AMIR NETO;PATRIOTA;BRASILEIRA NATA;40;MASCULINO;LÊ E ESCREVE;CASADO(A);BRANCA;S
ANA CAROLINA;MDB;BRASILEIRA NATA;30;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PRETA;N
ANA CLAUDIA QUELES BELMONTE;AVANTE;BRASILEIRA NATA;50;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
ANA DA SOPA;REPUBLICANOS;BRASILEIRA NATA;58;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;N
ANA DE JESUS;DEM;BRASILEIRA NATA;65;FEMININO;LÊ E ESCREVE;CASADO(A);PRETA;N
ANA EVANGELISTA;PT;BRASILEIRA NATA;53;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;S
ANA FLÁVIA;PTC;BRASILEIRA NATA;26;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
ANA GRANATA;PSL;BRASILEIRA NATA;61;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
ANA PAULA;PTC;BRASILEIRA NATA;40;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PRETA;S
ANA PAULA VILLAR;PP;BRASILEIRA NATA;38;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
ANANIAS CARDOSO;PSB;BRASILEIRA NATA;47;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;S
ANDERSON BRITO;PDT;BRASILEIRA NATA;50;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
ANDERSON COSTA;DC;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
ANDERSON DA LUZ;PATRIOTA;BRASILEIRA NATA;40;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);PARDA;S
ANDERSON DO TRANSPORTE;PSDB;BRASILEIRA NATA;31;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;N
ANDERSON GERTH;DEM;BRASILEIRA NATA;45;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
ANDERSON SANTOS;PTB;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
ANDRÉ ALVARENGA;REDE;BRASILEIRA NATA;50;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
ANDRÉ ASCÂNIO;PSD;BRASILEIRA NATA;40;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
ANDRÉ CAMELÔ;PSOL;BRASILEIRA NATA;40;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;S
ANDRÉ DECÃO;PSC;BRASILEIRA NATA;46;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ANDRÉ DO SOCIAL;PSDB;BRASILEIRA NATA;39;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;N
ANDRÉ FORMIGÃO;PV;BRASILEIRA NATA;52;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ANDRÉ LUIZ MARTINS;PSD;BRASILEIRA NATA;48;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ANDRÉ PEDREIRO;PT;BRASILEIRA NATA;32;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);AMARELA;N
ANDREA AGOSTINHO;SOLIDARIEDADE;BRASILEIRA NATA;53;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;N
ANDREA AGUIAR;CIDADANIA;BRASILEIRA NATA;48;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
ANDREA COSTA;PDT;BRASILEIRA NATA;50;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
ANDREA ESTETICISTA;PC do B;BRASILEIRA NATA;51;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
ANDRESA COSTA NEGA;DEM;BRASILEIRA NATA;42;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;N
ANDREZA SALES;REPUBLICANOS;BRASILEIRA NATA;26;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;N
ÂNGELA OTTONI;REPUBLICANOS;BRASILEIRA NATA;42;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
ANGELITA ROCHA;PMN;BRASILEIRA NATA;54;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
ANTONIO AUGUSTO;NOVO;BRASILEIRA NATA;67;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
ANTONIO CARLOS BH;PSL;BRASILEIRA NATA;61;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;N
ANTÔNIO HUCK;PTC;BRASILEIRA NATA;54;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
ANTONIO LOBO;PSB;BRASILEIRA NATA;71;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
ANTÔNIO MÁRCIO CEARÁ;PP;BRASILEIRA NATA;38;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;S
ANTONIO MELANE;PODE;BRASILEIRA NATA;71;MASCULINO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;PRETA;S
ANTÔNIO WILLIAM GOMES;PODE;BRASILEIRA NATA;64;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
APARECIDA SANTOS;PSL;BRASILEIRA NATA;57;FEMININO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;N
ARIADNA GUIMARÃES;PATRIOTA;BRASILEIRA NATA;38;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;N
ARIELLA DUTRA;REPUBLICANOS;BRASILEIRA NATA;29;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;N
ARLINDO DO GÁS;PSC;BRASILEIRA NATA;41;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);PARDA;S
ARNALDO GODOY;PT;BRASILEIRA NATA;69;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
ARY JUNIOR;PROS;BRASILEIRA NATA;50;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;S
AUDRÊ LISBOA;PSB;BRASILEIRA NATA;58;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
AUDREY SNOOPY;REDE;BRASILEIRA NATA;35;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;S
AURENI DAS GRAÇAS;CIDADANIA;BRASILEIRA NATA;60;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;S
AUTAIR GOMES;PSD;BRASILEIRA NATA;59;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
AVELINO MOREIRA;SOLIDARIEDADE;BRASILEIRA NATA;51;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
BACALHAU;PTB;BRASILEIRA NATA;75;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;N
BAIANO DO GARAJÃO;PTC;BRASILEIRA NATA;46;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;S
BAIANO DO SUCATA;PROS;BRASILEIRA NATA;40;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
BAIXINHO CARRETO;PL;BRASILEIRA NATA;41;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
BAIXINHO DA VIDRAÇARIA;PSD;BRASILEIRA NATA;58;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PARDA;S
BALBINO DA AMBULÂNCIA;PP;BRASILEIRA NATA;60;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;S
BALINHA DO AÇOUGUE;DEM;BRASILEIRA NATA;43;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRANCA;S
BARÃO MOURA;AVANTE;BRASILEIRA NATA;37;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
BÁRBARA FRANÇA;PT;BRASILEIRA NATA;47;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
BÁRBARA GUILHERME;PTB;BRASILEIRA NATA;40;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;N
BARBOSA DAS CORRIDAS DE RUA;PTC;BRASILEIRA NATA;59;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
BEBEL;PT;BRASILEIRA NATA;34;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
BEBEL DO MERCADO;DEM;BRASILEIRA NATA;57;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);SEM INFORMAÇÃO;S
BEL LIMA;REDE;BRASILEIRA NATA;52;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
BELLA GONÇALVES;PSOL;BRASILEIRA NATA;32;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
BENEDITO MATEUS;PV;BRASILEIRA NATA;53;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
BENJAMIM DA DISTRIBUIDORA;PL;BRASILEIRA NATA;57;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;S
BERÉ SILVA;PTB;BRASILEIRA NATA;42;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
BERNARDO SAFAR BARAKAT;AVANTE;BRASILEIRA NATA;31;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;S
BETH RODRIGUES;REDE;BRASILEIRA NATA;66;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;S
BETO DO SÃO BERNARDO;MDB;BRASILEIRA NATA;40;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
BETO FUTEVÔLEI;PATRIOTA;BRASILEIRA NATA;32;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);BRANCA;S
BETO MECÃNICO;PDT;BRASILEIRA NATA;52;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;S
BIANCA ANGEL;PROS;BRASILEIRA NATA;19;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
BIGODE DAS LATINHAS;PSC;BRASILEIRA NATA;56;MASCULINO;LÊ E ESCREVE;CASADO(A);PARDA;N
BILL DO PROJETO;PTB;BRASILEIRA NATA;34;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
BIM DA AMBULÂNCIA;PSD;BRASILEIRA NATA;38;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
BIM DA KEL;PTC;BRASILEIRA NATA;42;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
BINHA DA COLÓ;PMN;BRASILEIRA NATA;48;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;N
BISMARCK GOUVEA;PL;BRASILEIRA NATA;59;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
BOI;PATRIOTA;BRASILEIRA NATA;53;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
BRANDÃO DA LIVRARIA;PDT;BRASILEIRA NATA;77;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;S
BRAULIO LARA;NOVO;BRASILEIRA NATA;39;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
BRAYAN FREDERICO;CIDADANIA;BRASILEIRA NATA;19;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
BRENDA CRISTINA;REPUBLICANOS;BRASILEIRA NATA;35;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;S
BRENO BAETA;NOVO;BRASILEIRA NATA;31;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
BRENO NOLASCO ONG OPORTUNIDADE;AVANTE;BRASILEIRA NATA;31;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
BRENO RICARDO;CIDADANIA;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
BRENO TÓTOLI;PMN;BRASILEIRA NATA;28;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
BREOSO;PODE;BRASILEIRA NATA;58;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
BRUNA BUENO;PDT;BRASILEIRA NATA;32;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
BRUNO ANGELI;PROS;BRASILEIRA NATA;38;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;S
BRUNO BUENO;REPUBLICANOS;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;S
BRUNO GLEIDSON;PROS;BRASILEIRA NATA;38;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);PARDA;S
BRUNO MIRANDA;PDT;BRASILEIRA NATA;41;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
BRUNO RAFAEL;PT;BRASILEIRA NATA;35;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
BRUNO SALDANHA;PRTB;BRASILEIRA NATA;40;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
BUTINADA;REDE;BRASILEIRA NATA;81;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;DIVORCIADO(A);PRETA;S
CABO ALEXSANDER;PSDB;BRASILEIRA NATA;34;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
CABO DIMITRE;REDE;BRASILEIRA NATA;37;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;S
CABO ROMULO SANTIAGO BH;PRTB;BRASILEIRA NATA;35;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;S
CABO VENANCIO PRIMO;AVANTE;BRASILEIRA NATA;51;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;S
CABRAL;PL;BRASILEIRA NATA;50;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
CAIO BELLOTE;PMN;BRASILEIRA NATA;30;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
CAMARGOS DA PROPAGANDA;PTC;BRASILEIRA NATA;66;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;S
CAMILA CASQUINHA;PV;BRASILEIRA NATA;36;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;N
CAMILA GOMES;DC;BRASILEIRA NATA;23;FEMININO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PRETA;S
CANTOR CARLOS MAGNO;PSB;BRASILEIRA NATA;43;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;S
CANTOR JOÃO DO POVÃO;PSD;BRASILEIRA NATA;65;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;S
CANTOR SERGINHO MARTINELLI;SOLIDARIEDADE;BRASILEIRA NATA;48;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;S
CANTORA BETH REIS;PSL;BRASILEIRA NATA;58;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;N
CARLA AUTO ESCOLA;SOLIDARIEDADE;BRASILEIRA NATA;43;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;N
CARLA DO TREVO;AVANTE;BRASILEIRA NATA;45;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;S
CARLÃO;SOLIDARIEDADE;BRASILEIRA NATA;38;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;S
CARLIM DO BURITAXI;PSC;BRASILEIRA NATA;45;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;S
CARLINHOS DO SERRA VERDE;PMN;BRASILEIRA NATA;50;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;S
CARLITÃO NO TRANSITO;PV;BRASILEIRA NATA;38;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;S
CARLOS CRUZ;DEM;BRASILEIRA NATA;61;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);PRETA;S
CARLOS FERRER BAIANO;PDT;BRASILEIRA NATA;63;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;S
CARLOS HENRIQUE;PTB;BRASILEIRA NATA;46;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
CARLOS HENRIQUE QUEIROZ;PRTB;BRASILEIRA NATA;47;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;S
CARLOS JÚNIOR DA PERFECTFILM;REPUBLICANOS;BRASILEIRA NATA;39;MASCULINO;LÊ E ESCREVE;DIVORCIADO(A);PARDA;S
CARLOS MAGNO;PTC;BRASILEIRA NATA;62;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;S
CARLOS MONTEIRO;REPUBLICANOS;BRASILEIRA NATA;39;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;DIVORCIADO(A);PARDA;N
CARLOS PEREIRA;PC do B;BRASILEIRA NATA;59;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
